NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 6Hr
25375.479604258286,0.0,25324.097727284683,0.0,0.0
26102.85152586648,0.0,24108.858269152905,0.0,599.3062877442874
26102.85152586648,0.0,23065.039258476205,0.0,2061.0444573565337
26102.85152586648,0.0,22634.78689324426,0.0,3420.9652491021493
26102.85152586648,0.0,21955.510317207456,0.0,5452.307865178018
26102.85152586648,0.0,20777.116131178675,0.0,7829.207452818128
26102.85152586648,0.0,19322.787714891394,0.0,9834.511668665957
26102.85152586648,0.0,17940.34589354525,514.7584207007344,11256.462952612143
26102.85152586648,0.0,16009.521202661073,10063.835566523885,3939.022265251296
26102.85152586648,0.0,14032.017308757095,25733.444849133302,0.0
26102.85152586648,0.0,11859.896791084471,27696.718385464388,0.0
20213.314426194484,0.0,9738.277276552973,28660.389816678788,0.0
26102.85152586648,0.0,7729.862362432291,31926.22858880256,0.0
22368.295696391342,0.0,6843.229473802768,34174.26841392108,0.0
20457.89995013024,462.90182398111807,6075.561892092234,31935.7242478965,0.0
20204.029254630368,1055.399922655306,0.0,32028.656905642336,0.0
19949.567392451878,7949.1532680269265,4783.516598462806,23231.565291253944,0.0
26102.85152586648,12107.400745755827,4860.950398611542,4043.256870205089,10113.56780331106
26102.85152586648,12107.400745755827,6642.020886626087,1.0883916611484592,12450.98644203382
26102.85152586648,12107.400745755827,8888.271793029717,0.0,9981.897383101885
26102.85152586648,12107.400745755827,10724.114727539501,0.0,6749.955358015928
26102.85152586648,12107.400745755827,12182.735338525432,0.0,3317.976592733121
26102.85152586648,12107.400745755827,13153.933487556767,0.0,621.2840589361583
26102.85152586648,12107.400745755827,14300.427987082103,0.0,0.0
26102.85152586648,12107.400745755827,15097.61582349894,0.0,0.0
26102.85152586648,12107.400745755827,15141.914700969597,0.0,0.0
26102.85152586648,12107.400745755827,15189.296431318955,0.0,0.0
26102.85152586648,12107.400745755827,14920.843987503977,0.0,0.0
26102.85152586648,12107.400745755827,13909.20744257872,0.0,2338.6701686114757
26102.85152586648,12107.400745755827,12843.717646156678,0.0,5959.934653754216
26102.85152586648,12107.400745755827,11894.593330518244,0.0,7915.357034578196
26102.85152586648,12107.400745755827,10266.85162548557,560.1379125447556,9575.528270913775
26102.85152586648,12107.400745755827,8228.600954174413,9892.536384421084,2769.841011120089
26102.85152586648,12107.400745755827,6681.208010915692,5471.808907540668,8720.200200790476
26102.85152586648,12107.400745755827,5844.326124289402,7599.685297829755,6759.699624129635
26102.85152586648,12107.400745755827,5503.18734366912,9798.127846745845,4159.8192567127335
26102.85152586648,12107.400745755827,5699.655135929684,12051.719132914055,1151.1823084437438
26102.85152586648,12107.400745755827,6555.420623568723,12735.06319855898,0.0
26102.85152586648,12107.400745755827,7680.858540984784,18199.097063987076,0.0
26102.85152586648,12107.400745755827,8953.491496339479,17592.547411582214,0.0
26102.85152586648,12107.400745755827,9817.007848940986,13600.471855361195,105.79465656900567
26102.85152586648,12107.400745755827,10700.518496912544,3197.9644231329585,9897.688758527504
26102.85152586648,12107.400745755827,11820.36996127609,1.3395589675673347,11585.496551639895
26102.85152586648,12107.400745755827,11848.171467793662,0.0,10576.956051843797
26102.85152586648,12107.400745755827,11633.773581409952,0.0,8780.089137202114
26102.85152586648,12107.400745755827,13388.94188933984,0.0,4564.067252612073
26102.85152586648,9802.213660148329,18040.95811336531,0.0,561.6327980319965
24923.072009630512,4012.981144595358,24873.42942023702,0.0,0.0
21469.040785210516,0.0,32242.270555121515,0.0,0.0
